address,year
50 ELGIN PK,1913
412 LINDEN ST,1909
ALCATRAZ ISLAND,1900
10 KENNEDY PL 0102,2018
524 CLIPPER ST,1883
329 PROSPECT AV,1911
570 INNES AVE 0204,2016
371 ARGUELLO BL,1903
279 GRAYSTONE TE 0002,1959
570 INNES AVE 0304,2016
1096 ASHBURY ST 0002,1922
3236 DIVISADERO ST,1924
212 UNION ST,1890
3572 19TH ST,1940
83 EUREKA ST,1940
551 HUDSON AV 0201,2015
3247 STEINER ST,1924
267 LEXINGTON ST,1907
570 INNES AVE 0202,2016
414 LINDEN ST,1909
331 PROSPECT AV,1911
3245 STEINER ST,1924
10 KENNEDY PL 0105,2018
522 CLIPPER ST,1883
10 KENNEDY PL 0211,2018
10 KENNEDY PL 0201,2018
456 KANSAS ST,1900
551 HUDSON AV 0203,2015
1282 HAYES ST,2019
81 EUREKA ST,1940
10 KENNEDY PL 0108,2018
463C 25TH AV,1990
279 GRAYSTONE TE 0003,1959
178 CLINTON PK,1907
10 KENNEDY PL 0209,2018
10 KENNEDY PL 0305,2018
52 ELGIN PK,1913
570 INNES AVE 0203,2016
10 KENNEDY PL 0210,2018
570 INNES AVE 0301,2016
3574 19TH ST,1940
176 CLINTON PK,1907
153 CRESCENT AV,1909
560 FELL ST,1900
551 HUDSON AV 0302,2015
608 DIVISADERO ST,1926
10 KENNEDY PL 0303,2018
551 HUDSON AV 0101,2015
551 HUDSON AV 0303,2015
279 GRAYSTONE TE 0004,1959
551 HUDSON AV 0301,2015
1096 ASHBURY ST 0001,1922
463B 25TH AV,1990
10 KENNEDY PL 0106,2018
10 KENNEDY PL 0203,2018
10 KENNEDY PL 0103,2018
3143 SACRAMENTO ST,2017
10 KENNEDY PL 0110,2018
10 KENNEDY PL 0202,2018
456 KANSAS ST,1900
10 KENNEDY PL 0101,2018
4114 23RD ST,1940
127 HUGO ST,1907
10 KENNEDY PL 0208,2018
10 KENNEDY PL 0307,2018
10 KENNEDY PL 0107,2018
570 INNES AVE 0303,2016
10 KENNEDY PL 0306,2018
10 KENNEDY PL 0308,2018
10 KENNEDY PL 0204,2018
